3206,-994
3018,-961
2832,-920
2648,-870
2466,-811
2286,-745
2109,-671
1936,-589
1766,-499
1599,-401
1437,-296
1344,-230
1250,-159
1156,-84
1063,-5
972,78
882,164
794,252
708,343
625,435
545,530
469,625
396,721
158,1087
-39,1471
-195,1871
-309,2282
-381,2702
-411,3126
-399,3551
-345,3974
-249,4391
-111,4799
69,5193
291,5572
366,5681
444,5787
527,5892
613,5996
703,6096
796,6195
892,6290
991,6383
1092,6473
1196,6559
1303,6641
1411,6719
1632,6864
1861,6994
2098,7110
2341,7210
2589,7295
2843,7364
3100,7418
3361,7456
3625,7478
3890,7484
4157,7474
4423,7447
4557,7427
4691,7402
4824,7373
4956,7340
5087,7303
5217,7261
5347,7215
5474,7165
5601,7111
5725,7054
5848,6992
5969,6926
6004,6905
6045,6880
6090,6852
6138,6821
6188,6788
6239,6753
6290,6718
6340,6684
6387,6650
6430,6619
6469,6590
6502,6564
6541,6532
6581,6499
6621,6465
6661,6430
6700,6395
6739,6360
6777,6325
6813,6291
6848,6257
6881,6225
6912,6193
6940,6164
6952,6150
6964,6137
6975,6125
6985,6114
6995,6103
7004,6093
7012,6084
7018,6077
7023,6070
7027,6066
7030,6062
7030,6061
7028,6057
7020,6048
7005,6033
6982,6010
6948,5977
6903,5935
6845,5880
6772,5811
6683,5728
6577,5629
6452,5512
6306,5375
6223,5298
6140,5220
6055,5141
5971,5063
5888,4986
5808,4911
5732,4840
5660,4772
5594,4711
5535,4655
5483,4607
5440,4567
5292,4428
5147,4293
5007,4162
4874,4037
4747,3919
4629,3809
4520,3707
4421,3615
4334,3534
4260,3464
4199,3408
4153,3365
3992,3215
4018,3187
4105,3091
4274,2901
4510,2636
4795,2316
5110,1960
5440,1587
5767,1218
6073,872
6341,568
6555,326
6696,165
6747,105
6742,93
6725,72
6696,43
6658,8
6611,-32
6558,-76
6499,-122
6436,-170
6371,-219
6304,-267
6238,-313
6174,-356
6018,-453
5859,-543
5696,-625
5529,-701
5360,-769
5187,-829
5011,-882
4833,-928
4652,-966
4468,-997
4282,-1020
4094,-1036
4051,-1038
4008,-1040
3967,-1042
3926,-1043
3886,-1043
3845,-1043
3804,-1043
3762,-1042
3719,-1041
3676,-1039
3631,-1037
3584,-1035
3584,-1035
4739,-923
4947,-873
5151,-813
5349,-744
5544,-665
5733,-577
5919,-479
6100,-371
6277,-253
6449,-126
6618,11
6638,29
6656,44
6671,57
6683,69
6693,78
6701,86
6706,93
6710,99
6712,103
6712,108
6711,111
6710,115
6696,131
6658,174
6597,242
6517,333
6417,445
6301,577
6168,726
6022,891
5864,1069
5695,1259
5518,1458
5333,1666
5148,1874
4971,2074
4803,2264
4645,2442
4500,2606
4368,2755
4253,2886
4154,2998
4075,3089
4016,3157
3980,3199
3967,3215
3974,3223
3992,3242
4021,3271
4061,3309
4110,3357
4168,3412
4234,3475
4306,3543
4385,3618
4469,3697
4558,3780
4650,3867
5128,4313
5537,4695
5883,5019
6171,5288
6405,5507
6592,5682
6736,5817
6842,5916
6916,5986
6962,6030
6986,6053
6993,6060
6990,6066
6981,6078
6967,6094
6948,6114
6926,6138
6900,6164
6873,6192
6844,6222
6814,6251
6784,6280
6754,6308
6726,6335
6548,6489
6365,6633
6175,6765
5980,6886
5779,6996
5573,7095
5362,7182
5146,7258
4926,7322
4701,7374
4472,7414
4239,7443
4187,7447
4128,7450
4064,7453
3997,7455
3926,7456
3855,7457
3783,7456
3712,7455
3644,7453
3579,7450
3520,7447
3466,7442
3252,7417
3041,7382
2833,7336
2629,7280
2429,7215
2232,7139
2040,7053
1851,6958
1667,6853
1488,6738
1313,6614
1143,6480
1104,6448
1061,6409
1014,6365
963,6318
911,6267
859,6215
807,6163
756,6111
709,6061
665,6014
626,5970
594,5932
455,5756
327,5575
209,5389
102,5198
5,5003
-82,4803
-157,4598
-223,4389
-278,4176
-322,3958
-355,3736
-378,3510
-381,3461
-383,3404
-384,3342
-385,3275
-385,3205
-384,3134
-382,3063
-380,2994
-376,2927
-373,2865
-369,2810
-364,2762
-308,2409
-225,2066
-116,1734
18,1415
178,1109
361,818
566,543
794,286
1044,47
1313,-172
1602,-370
1910,-545
2035,-608
2162,-666
2291,-719
2422,-769
2555,-814
2689,-854
2826,-891
2964,-923
3104,-950
3246,-974
3391,-993
3537,-1008
3580,-1010
3634,-1012
3698,-1013
3769,-1014
3844,-1013
