6646,6170
6517,6288
6383,6400
6244,6506
6101,6605
5953,6699
5802,6786
5647,6866
5489,6940
5327,7007
5162,7067
4995,7120
4825,7166
4656,7204
4485,7235
4314,7258
4142,7274
3970,7282
3798,7284
3625,7278
3453,7265
3282,7244
3111,7216
2941,7181
2773,7139
2603,7088
2436,7031
2272,6966
2113,6895
1956,6816
1804,6731
1655,6639
1509,6541
1367,6435
1229,6323
1095,6204
965,6078
812,5915
669,5746
536,5570
414,5388
302,5200
201,5006
110,4806
30,4601
-39,4390
-97,4173
-145,3952
-181,3725
-187,3674
-192,3614
-197,3547
-201,3474
-204,3398
-206,3319
-208,3241
-208,3164
-208,3090
-206,3022
-204,2960
-200,2907
-178,2701
-147,2499
-106,2299
-55,2103
5,1911
75,1722
154,1537
242,1356
339,1180
445,1008
560,840
685,678
866,468
1060,271
1265,89
1481,-78
1708,-230
1943,-366
2188,-485
2439,-589
2698,-675
2963,-744
3234,-796
3509,-829
3554,-832
3606,-834
3665,-836
3729,-837
3796,-838
3864,-838
3933,-837
4000,-836
4064,-834
4123,-832
4176,-829
4221,-825
3743,4524
3711,4540
3680,4559
3651,4580
3623,4603
3598,4629
3574,4657
3553,4687
3534,4718
3518,4752
3503,4787
3497,4808
3492,4830
3488,4854
3485,4879
3484,4905
3483,4931
3484,4958
3485,4984
3488,5009
3492,5033
3497,5055
3503,5076
3525,5128
3553,5175
3585,5219
3622,5258
3663,5292
3708,5321
3755,5344
3805,5362
3857,5374
3911,5379
3966,5378
4021,5370
4062,5359
4103,5345
4141,5327
4177,5305
4210,5280
4241,5252
4270,5221
4296,5188
4319,5152
4339,5113
4355,5072
4369,5028
4373,5011
4376,4994
4379,4978
4381,4962
4382,4947
4383,4931
4382,4916
4381,4901
4379,4885
4376,4869
4373,4852
4369,4835
4349,4773
4322,4716
4289,4665
4251,4620
4207,4580
4160,4547
4108,4520
4053,4501
3996,4488
3936,4484
3875,4487
3813,4499
4149,4571
4190,4599
4228,4633
4261,4670
4289,4710
4313,4754
4332,4800
4345,4847
4352,4897
4353,4947
4348,4997
4325,5081
4289,5154
4241,5217
4183,5268
4118,5308
4047,5336
3972,5350
3896,5352
3820,5339
3746,5311
3676,5269
3612,5211
3573,5160
3543,5106
3522,5050
3509,4992
3505,4933
3509,4874
3521,4816
3542,4760
3570,4707
3606,4658
3650,4614
3702,4576
3727,4560
3755,4547
3783,4536
3812,4527
3842,4520
3873,4515
3904,4512
3935,4511
3966,4512
3996,4515
4026,4521
4055,4528
